name,developer,genre,release_date,image_url
Prince of Persia: The Lost Crown,Ubisoft,Platformówka,2024-01-18,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2751000/header.jpg?t=1727131139
Like a Dragon: Infinite Wealth,Ryu Ga Gotoku Studios/SEGA,RPG,2024-01-26,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2072450/header.jpg?t=1729695023
Tekken 8,Bandai Namco,Fighting,2024-01-26,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1778820/header.jpg?t=1729824657
Persona 3 Reload,P-Studio/Atlus/SEGA,RPG,2024-02-02,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2161700/header.jpg?t=1725556209
Suicide Squad: Kill the Justice League,Rocksteady/Warner Bros. Games,Co-op shooter,2024-02-02,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/315210/header_alt_assets_4.jpg?t=1727798939
Helldivers 2,Arrowhead/Sony,Co-op shooter,2024-02-08,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/553850/header_polish.jpg?t=1730884635
Banishers: Ghosts of New Eden,Don't Nod/Focus Entertainment,Action RPG,2024-02-13,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1493640/header.jpg?t=1729167959
Skull and Bones,Ubisoft,Action,2024-02-16,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2853730/header.jpg?t=1732230319
Balatro,LocalThunk/Playstack,"Rogue-like, card",2024-02-20,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2379780/header.jpg?t=1732730257
Bandle Tale: A League of Legends Story,Lazy Bear Games/Riot Forge,Farm sim,2024-02-21,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1759380/header.jpg?t=1710190745
Last Epoch,Eleventh Hour Games,Top-down Hack'n slash,2024-02-21,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/899770/header.jpg?t=1732045198
Brothers: A Tale of Two Sons Remake,Avantgarden/505 Games,Adventure,2024-02-28,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2153350/header.jpg?t=1727773982
